+----------------------------------------+----------------------------------------------------+----------------+
| Method                                 | URI                                                | Middleware     |
+----------------------------------------+----------------------------------------------------+----------------+
| GET|HEAD                               | /                                                  | web            |
| GET|HEAD                               | about                                              | web            |
| GET|HEAD                               | account-page                                       | web            |
| GET|HEAD                               | admin-login                                        | web            |
| GET|HEAD                               | admin/add-med                                      | web            |
| GET|HEAD                               | admin/dash-detail                                  | web            |
| GET|HEAD                               | admin/dash-ord                                     | web            |
| GET|HEAD                               | admin/dashboard                                    | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-active-prescription                     | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-all-prescription                        | web            |
| GET|HEAD                               | admin/load-customers                               | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-deleted-prescription                    | web            |
| GET|HEAD                               | admin/load-invoice/{id}                            | web            |
| GET|HEAD                               | admin/load-medicalprof                             | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-medicine-web                            | web            |
| GET|HEAD                               | admin/load-medicines                               | web            |
| GET|HEAD                               | admin/load-new-medicines                           | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-paid-prescription                       | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-pending-prescription                    | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/load-shipped-prescription                    | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/login                                        | web            |
| POST                                   | admin/pay-invoice                                  | web            |
| POST                                   | admin/pres-delete/{pres_id}/{status}               | web            |
| GET|HEAD                               | admin/pres-edit/{pres_id}/{status}                 | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | admin/ship-order/{pres_id}                         | web            |
| GET|HEAD                               | admin/today-pres-dash                              | web            |
| POST                                   | admin/update-invoice                               | web            |
| GET|HEAD                               | api/user                                           | api,auth:api   |
| GET|HEAD                               | cache                                              | web            |
| GET|HEAD                               | captcha/api/{config?}                              | web            |
| GET|HEAD                               | captcha/{config?}                                  | web            |
| GET|HEAD                               | clear-cache                                        | web            |
| GET|HEAD                               | contact                                            | web            |
| POST                                   | create-db                                          | web            |
| GET|HEAD                               | help-desk                                          | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | load-prescription                                  | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | load-prescription-paid                             | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | load-prescription-shipped                          | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | load-prescription-to-be-paid                       | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | logout                                             | web            |
| GET|HEAD                               | medicine-detail/{item_code}                        | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/add-cart/{is_web}                         | web            |
| POST                                   | medicine/add-new-medicine                          | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/admin-pay-success/{invoice}               | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/load-medicine-web/{is_web}                | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/load-sub-medicine                         | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/make-paypal-payment/{invoice}             | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/make-paypal-payment/{invoice}/{is_mobile} | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/remove-from-cart/{item_id}                | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | medicine/store-prescription/{is_web}               | web            |
| POST                                   | medicine/upload                                    | web            |
| GET|HEAD                               | my-cart                                            | web            |
| GET|HEAD                               | my-order                                           | web            |
| GET|HEAD                               | my-prescription/{option?}                          | web            |
| GET|HEAD                               | paid-prescription                                  | web            |
| GET|HEAD                               | payment/failure                                    | web            |
| GET|HEAD                               | payment/success                                    | web            |
| POST                                   | run-migration                                      | web            |
| POST                                   | run-seeder                                         | web            |
| POST                                   | setting/basic                                      | web            |
| POST                                   | setting/mail                                       | web            |
| POST                                   | setting/payment                                    | web            |
| POST                                   | setting/user                                       | web            |
| GET|HEAD                               | system-setup                                       | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/activate-account                              | web            |
| GET|HEAD                               | user/check-session                                 | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/check-user-name                               | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/contact-us                                    | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/create-user/{is_web}                          | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/user-login/{is_web}                           | web            |
| GET|HEAD|POST|PUT|PATCH|DELETE|OPTIONS | user/web-activate-account/{code}                   | web            |
+----------------------------------------+----------------------------------------------------+----------------+
